76|86
34|42
34|59
82|34
82|52
82|71
69|15
69|83
69|76
69|79
75|37
75|92
75|77
75|26
75|43
92|55
92|71
92|42
92|31
92|87
92|73
68|51
68|82
68|88
68|22
68|69
68|91
68|78
28|65
28|11
28|26
28|78
28|56
28|91
28|29
28|51
49|68
49|86
49|32
49|56
49|75
49|43
49|11
49|46
49|82
72|93
72|49
72|73
72|37
72|31
72|42
72|83
72|87
72|76
72|32
42|28
42|43
42|18
42|88
42|32
42|96
42|13
42|68
42|51
42|98
42|47
37|28
37|79
37|81
37|52
37|93
37|47
37|59
37|49
37|55
37|94
37|69
37|63
46|68
46|34
46|85
46|92
46|65
46|82
46|26
46|78
46|86
46|28
46|91
46|98
46|22
73|42
73|63
73|11
73|79
73|28
73|15
73|96
73|46
73|18
73|52
73|93
73|55
73|81
73|56
29|69
29|72
29|52
29|13
29|34
29|73
29|37
29|51
29|75
29|85
29|59
29|55
29|95
29|26
29|98
78|13
78|34
78|81
78|37
78|71
78|69
78|82
78|77
78|26
78|72
78|87
78|55
78|59
78|79
78|92
78|52
87|42
87|22
87|51
87|56
87|94
87|46
87|68
87|18
87|86
87|15
87|91
87|49
87|93
87|32
87|96
87|29
87|88
94|46
94|42
94|91
94|49
94|98
94|76
94|68
94|29
94|75
94|88
94|96
94|86
94|28
94|32
94|95
94|93
94|15
94|18
79|18
79|56
79|94
79|81
79|91
79|76
79|49
79|47
79|32
79|88
79|96
79|42
79|28
79|87
79|22
79|46
79|83
79|86
79|93
56|43
56|69
56|75
56|98
56|91
56|51
56|88
56|68
56|65
56|13
56|85
56|37
56|22
56|72
56|82
56|86
56|26
56|34
56|23
56|92
88|31
88|82
88|65
88|37
88|95
88|59
88|55
88|52
88|34
88|51
88|92
88|43
88|13
88|75
88|85
88|78
88|69
88|72
88|26
88|71
88|23
91|78
91|98
91|82
91|77
91|34
91|43
91|13
91|92
91|23
91|85
91|65
91|26
91|69
91|51
91|88
91|52
91|37
91|72
91|55
91|73
91|95
91|75
86|59
86|73
86|69
86|72
86|51
86|75
86|29
86|34
86|91
86|82
86|37
86|95
